ATM,ATMs,ATM's,automated teller machines,
IRA,IRA's,investment accounts,investment account,
apply,applies,applied,application,
currency,currencies,,,
money order,cashier check,cashier's check,cashiers check,
notary,notarized,,,
PTM,PTMs,PTM's,personal teller machines,remote teller
check,checks,,,
not charged,charged,no charge,charge,free
IRA,IRA's,,,
copier,copy,,
call,automated phone service
coupon,coupon books,,,
help,helpful,trouble,,
contact,person,phone number,human,
close,pay off,,,
cash,redeem,,,
box,boxes,,,
app,banking app,mobile banking app,application,
exchange,convert,,,
escrow,escrow account,,,
recurring,automatic monthly,,,
WPCU,Wright-Pratt Credit Union,wright-pratt credit union,Wright-Patt Credit Union,
when,how many days,,,
loan,lines of credit,line of credit,loans,
auto,automatically,,,
EIN,employee identification number,,,
deposit,mobile deposit,,,
different,vs,,,
notice,notices,enotices,,
address,mailing address,personal information,,
statement,estatement,e-statement,e statement,
hire,hiring ,job,,
external,another,not Wright patt,cross,,
refund,refunded,fee refund,,
fraud,frauds,fraudulent,fraudulent charge,
withdraw,get out,,,
spouse,husband ,wife,,
travel,vacation,trip,traveling,
agency, company
EIN,employer identification number
changed, changes
lost,lost/stolen,stolen
eligible,eligibility,
membership,member
account, accounts
view,see
ReadyLine,ready line
job,hiring
stretch,strech,strech pay, stretch pay,
update,change
sign,signature,,,
CD,share certificate,share certificates,,
card,visa,,,
popmoney,pop money,,,
transit number,routing number,,,
abroad,international,cross border,,f
center,location,,,
coin,coins,loose coins,,
vehicle,auto,car